767766,1575,21126113
837037,78,1688869
796961,77,1549768
833457,86,3897357
981989,83,2759672
1342197,74,1147789
702276,70,785270
1422065,70,766068
1097201,70,760166
901298,70,797053
1073843,65,463320
1226914,63,386863
1270389,60,300901
1146749,61,320064
832948,66,545567
664086,71,845907
1012234,52,134396
591042,71,859862
560209,70,758476
1054392,63,381217
741496,68,654747
732437,52,129088
621694,70,739210
661164,65,454483
-1,-1
-1,-1
-1,-1
789831,13
363403,6
711219,4
1205594,1
789307,2
-1,-1
-1,-1
-1,-1
-1,-1
61873,727
187406,14
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
138874,67
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
